plant_name,plant_code,region,state,fuel_types,primary_technology
Gillette SBMC,54225,New England,MA,"DFO, NG",Multiple
Golden Hills Solar,61315,New England,MA,SUN,Solar Photovoltaic
Goose Pond Solar,62992,New England,MA,SUN,Solar Photovoltaic
Grafton PV,61341,New England,MA,SUN,Solar Photovoltaic
Grafton Solar,59394,New England,MA,SUN,Solar Photovoltaic
Granby LFG,59815,New England,MA,LFG,Landfill Gas
"Granby Solar, LLC CSG",63338,New England,MA,"MWH, SUN",Multiple
Greater New Bedford LFG Utiliz. Facility,61702,New England,MA,LFG,Landfill Gas
Green Meadows,58097,New England,MA,SUN,Solar Photovoltaic
Greenfield Solar PV,62063,New England,MA,SUN,Solar Photovoltaic
Griffin Road Solar 2,65719,New England,MA,SUN,Solar Photovoltaic
"Griffin Road Solar, LLC CSG",62198,New England,MA,SUN,Solar Photovoltaic
Groveland Solar,57989,New England,MA,SUN,Solar Photovoltaic
"Hadley 2 Solar, LLC CSG",62196,New England,MA,SUN,Solar Photovoltaic
Hadley 3 Solar (North),64231,New England,MA,SUN,Solar Photovoltaic
Hadley 3 Solar (South),64232,New England,MA,SUN,Solar Photovoltaic
Hadley Falls,1605,New England,MA,WAT,Conventional Hydroelectric
"Hadley Solar NG, LLC",59484,New England,MA,SUN,Solar Photovoltaic
Halifax Solar,65083,New England,MA,SUN,Solar Photovoltaic
Hampden,60494,New England,MA,SUN,Solar Photovoltaic
Hampden Solar PV,62073,New England,MA,SUN,Solar Photovoltaic
Hampshire College Hybrid,60815,New England,MA,"MWH, SUN",Multiple
Happy Hollow CSG Hybrid,62652,New England,MA,"MWH, SUN",Multiple
Harbor Road Solar 1,66077,New England,MA,SUN,Solar Photovoltaic
Hardwick-Athol & Eagle Hill,60458,New England,MA,SUN,Solar Photovoltaic
Harris Energy Realty,54981,New England,MA,WAT,Conventional Hydroelectric
Harwich Landfill,59078,New England,MA,SUN,Solar Photovoltaic
Hatfield Renewables Community Solar,61299,New England,MA,SUN,Solar Photovoltaic
Hatfield Solar PV,62091,New England,MA,SUN,Solar Photovoltaic
Haverhill Solar Power Project,57269,New England,MA,SUN,Solar Photovoltaic
"Hewlett-Packard (HP) - Andover, MA",60099,New England,MA,SUN,Solar Photovoltaic
High Street Station,1670,New England,MA,"DFO, NG",Multiple
Hinsdale Solar PV,62064,New England,MA,SUN,Solar Photovoltaic
Holiday Hill Community Wind,62897,New England,MA,WND,Onshore Wind Turbine
Holliston LLC,65184,New England,MA,SUN,Solar Photovoltaic
Holliston Solar CSG,60731,New England,MA,SUN,Solar Photovoltaic
Holyoke Solar Cooperative at Mueller,57931,New England,MA,SUN,Solar Photovoltaic
Hopkinton CSG,62760,New England,MA,SUN,Solar Photovoltaic
Hudson,64110,New England,MA,SUN,Solar Photovoltaic
Hull Wind II,56800,New England,MA,WND,Onshore Wind Turbine
Hunt Farm Solar,59820,New England,MA,SUN,Solar Photovoltaic
Hunt Road Solar,59927,New England,MA,SUN,Solar Photovoltaic
Hurteau Solar Project Hybrid,63468,New England,MA,"MWH, SUN",Multiple
Huxley Solar,66180,New England,MA,"MWH, SUN",Multiple
"ISM Solar Dighton 2, LLC CSG",63562,New England,MA,SUN,Solar Photovoltaic
IXYS - Beverly,64382,New England,MA,"DFO, NG",Multiple
"Incom Solar, LLC CSG",63563,New England,MA,SUN,Solar Photovoltaic
Indian Hill Solar LLC,59362,New England,MA,SUN,Solar Photovoltaic
Indian Orchard,6379,New England,MA,WAT,Conventional Hydroelectric
Indian Orchard PV Facility,57674,New England,MA,SUN,Solar Photovoltaic
Indian Orchard Plant 1,10417,New England,MA,NG,Natural Gas Steam Turbine
Indian River Hydro,65294,New England,MA,WAT,Conventional Hydroelectric
"Integrys MA Solar, LLC - Ashburnham Site",58934,New England,MA,SUN,Solar Photovoltaic
International Paper Woronoco Mill,50166,New England,MA,WAT,Conventional Hydroelectric
Ipswich Wind Independence,59023,New England,MA,WND,Onshore Wind Turbine
Ipswich Wind Turbine,57855,New England,MA,WND,Onshore Wind Turbine
"Iron Horse Solar 4, LLC",60799,New England,MA,SUN,Solar Photovoltaic
Iron Horse Solar I CSG,60855,New England,MA,SUN,Solar Photovoltaic
"JH Solar, LLC CSG",63564,New England,MA,SUN,Solar Photovoltaic
Jiminy Peak Wind QF,62570,New England,MA,WND,Onshore Wind Turbine
Joe Jenny,64573,New England,MA,SUN,Solar Photovoltaic
KS Solar Six LLC,59468,New England,MA,SUN,Solar Photovoltaic
Katama Farm,59079,New England,MA,SUN,Solar Photovoltaic
Kearsarge Acushnet,65690,New England,MA,SUN,Solar Photovoltaic
Kearsarge Amesbury Hybrid,63398,New England,MA,"MWH, SUN",Multiple
